Property,Sizes
l_comment.dictionary.size,"25641940, 33577848, 33352055"
l_comment.forward_index.size,"1717113, 2287416, 2271811"
l_commitdate.dictionary.size,"3948, 5438, 5438"
l_commitdate.forward_index.size,"772706, 1143712, 1135910"
l_discount.dictionary.size,"96, 96, 96"
l_discount.forward_index.size,"343429, 457490, 454369"
l_extendedprice.dictionary.size,"3804160, 4554648, 4532592"
l_extendedprice.forward_index.size,"1631258, 2287416, 2271811"
l_linenumber.dictionary.size,"36, 36, 36"
l_linenumber.forward_index.size,"257574, 343120, 340779"
l_linestatus.dictionary.size,"9, 10, 9"
l_linestatus.forward_index.size,"16, 24, 16"
l_orderkey.dictionary.size,"763536, 1067888, 1059900"
l_orderkey.forward_index.size,"1545403, 2173046, 2158221"
l_partkey.dictionary.size,"774668, 791728, 791032"
l_partkey.forward_index.size,"1545403, 2058675, 2044631"
l_quantity.dictionary.size,"408, 408, 408"
l_quantity.forward_index.size,"515140, 686231, 681549"
l_receiptdate.dictionary.size,"3648, 3948, 3948"
l_receiptdate.forward_index.size,"772706, 1029342, 1022320"
l_returnflag.dictionary.size,"9, 11, 10"
l_returnflag.forward_index.size,"16, 228749, 113599"
l_shipdate.dictionary.size,"3358, 3658, 3658"
l_shipdate.forward_index.size,"2688, 2928, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76"
l_shipinstruct.forward_index.size,"171719, 228749, 227189"
l_shipmode.dictionary.size,"57, 57, 57"
l_shipmode.forward_index.size,"257574, 343120, 340779"
l_suppkey.dictionary.size,"40008, 40008, 40008"
l_suppkey.forward_index.size,"1201982, 1601194, 1590270"
l_tax.dictionary.size,"80, 80, 80"
l_tax.forward_index.size,"343429, 457490, 454369"
