"segment", "metadata size", segment_size
tpch_lineitem_1g_sort_idx_OFFLINE_0/v3/metadata.properties,10026   ,4.0K
tpch_lineitem_1g_sort_idx_OFFLINE_1000/v3/metadata.properties,10149,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1001/v3/metadata.properties,10142,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1002/v3/metadata.properties,10117,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1003/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1004/v3/metadata.properties,10122,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1005/v3/metadata.properties,10118,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1006/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1007/v3/metadata.properties,10136,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1008/v3/metadata.properties,10115,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1009/v3/metadata.properties,10133,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_100/v3/metadata.properties,10107,72K	
tpch_lineitem_1g_sort_idx_OFFLINE_1010/v3/metadata.properties,10125,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1011/v3/metadata.properties,10131,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1012/v3/metadata.properties,10125,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1013/v3/metadata.properties,10119,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1014/v3/metadata.properties,10130,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1015/v3/metadata.properties,10129,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1016/v3/metadata.properties,10110,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1017/v3/metadata.properties,10119,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1018/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1019/v3/metadata.properties,10118,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_101/v3/metadata.properties,10102,72K	
tpch_lineitem_1g_sort_idx_OFFLINE_1020/v3/metadata.properties,10101,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1021/v3/metadata.properties,10135,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1022/v3/metadata.properties,10134,80K	
