Property,Sizes
l_comment.dictionary.size,"33504834, 33442097, 33577848"
l_comment.forward_index.size,"2283726, 2278496, 2287416"
l_commitdate.dictionary.size,"5438, 5438, 5438"
l_commitdate.forward_index.size,"1141867, 1139252, 1143712"
l_discount.dictionary.size,"96, 96, 96"
l_discount.forward_index.size,"456752, 455706, 457490"
l_extendedprice.dictionary.size,"4544024, 4541712, 4554648"
l_extendedprice.forward_index.size,"2283726, 2278496, 2287416"
l_linenumber.dictionary.size,"36, 36, 36"
l_linenumber.forward_index.size,"342566, 341782, 343120"
l_linestatus.dictionary.size,"9, 9, 10"
l_linestatus.forward_index.size,"16, 16, 24"
l_orderkey.dictionary.size,"1067284, 1065868, 1067888"
l_orderkey.forward_index.size,"2169540, 2164572, 2173046"
l_partkey.dictionary.size,"791616, 791640, 791728"
l_partkey.forward_index.size,"2055354, 2050647, 2058675"
l_quantity.dictionary.size,"408, 408, 408"
l_quantity.forward_index.size,"685124, 683555, 686231"
l_receiptdate.dictionary.size,"3958, 3948, 3948"
l_receiptdate.forward_index.size,"1027681, 1025328, 1029342"
l_returnflag.dictionary.size,"9, 9, 11"
l_returnflag.forward_index.size,"16, 16, 228749"
l_shipdate.dictionary.size,"3668, 3658, 3658"
l_shipdate.forward_index.size,"2936, 2928, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76"
l_shipinstruct.forward_index.size,"228380, 227857, 228749"
l_shipmode.dictionary.size,"57, 57, 57"
l_shipmode.forward_index.size,"342566, 341782, 343120"
l_suppkey.dictionary.size,"40008, 40008, 40008"
l_suppkey.forward_index.size,"1598611, 1594950, 1601194"
l_tax.dictionary.size,"80, 80, 80"
l_tax.forward_index.size,"456752, 455706, 457490"
